Entity ID,Entity,Risk Score at Detection,Current Risk Score,Source,Description,Detectors,Malware,Mitre Codes,Event Source,Event ID,Detection Time
ip:179.61.251.153,179.61.251.153,25,30,Splunk Demo Environment,Indicators Linked to Malware C&C Servers,Correlation,Rhadamanthys Stealer,TA0011,netscreen:firewall,,2024-12-31T23:55:40.000Z
ip:31.57.243.18,31.57.243.18,31,39,Splunk Demo Environment,Indicators Linked to Malware C&C Servers,Correlation,Rhysida,TA0011,netscreen:firewall,,2024-12-31T23:54:18.000Z
ip:47.237.135.165,47.237.135.165,66,31,Splunk Demo Environment,Indicators Linked to Malware C&C Servers,Correlation,Joker,TA0011,netscreen:firewall,,2024-12-31T23:54:12.000Z
ip:154.201.80.149,154.201.80.149,66,92,Sentinel Integration,enrichment,Correlation,RegGuard,TA0011,,092d4e5c-a463-478b-af66-8444b3860402,2024-12-31T23:52:00.927Z
ip:46.101.78.16,46.101.78.16,91,97,Sentinel Integration,enrichment,Correlation,Sliver,"TA0011, T1071",,092d4e5c-a463-478b-af66-8444b3860402,2024-12-31T23:51:58.960Z
ip:103.229.65.6,103.229.65.6,66,31,Sentinel Integration,enrichment,Correlation,Chalubo,TA0011,,092d4e5c-a463-478b-af66-8444b3860402,2024-12-31T23:51:57.380Z
ip:90.177.24.27,90.177.24.27,31,31,Splunk Demo Environment,Indicators Linked to Malware C&C Servers,Correlation,njRAT,TA0011,netscreen:firewall,,2024-12-31T23:51:57.000Z
ip:114.64.255.176,114.64.255.176,67,93,Sentinel Integration,enrichment,Correlation,,TA0011,,092d4e5c-a463-478b-af66-8444b3860402,2024-12-31T23:51:55.471Z
ip:193.149.189.27,193.149.189.27,96,40,Sentinel Integration,enrichment,Correlation,Havoc Framework,"TA0011, T1071",,092d4e5c-a463-478b-af66-8444b3860402,2024-12-31T23:51:51.821Z
idn:fhfgtutr8utyijyutr8ut68it7yygiy.blogspot.kr,fhfgtutr8utyijyutr8ut68it7yygiy.blogspot.kr,69,29,Splunk - Collective Insights Demo,,Correlation,,"T1566, T1566.002, TA0011",isc:bind:query,,2024-12-31T23:51:35.690Z
idn:hgjhg7658kj.blogspot.it,hgjhg7658kj.blogspot.it,69,33,Splunk - Collective Insights Demo,,Correlation,,"T1566, T1566.002, TA0011",isc:bind:query,,2024-12-31T23:51:35.690Z
idn:mail.chat-whatsapp9jhvztulp7ajofk9jua.duckdns.org,mail.chat-whatsapp9jhvztulp7ajofk9jua.duckdns.org,69,34,Splunk - Collective Insights Demo,,Correlation,,"T1566, TA0011, T1566.002",isc:bind:query,,2024-12-31T23:51:35.690Z
idn:mlnzcpvnes.duckdns.org,mlnzcpvnes.duckdns.org,72,32,Splunk - Collective Insights Demo,,Correlation,,"T1566, TA0011, T1566.002",isc:bind:query,,2024-12-31T23:51:35.690Z
idn:netflix-support.duckdns.org,netflix-support.duckdns.org,73,69,Splunk - Collective Insights Demo,,Correlation,,"T1566, TA0001, TA0011, TA0002, T1566.002",isc:bind:query,,2024-12-31T23:51:35.690Z
idn:usps.com-trackmdc.top,usps.com-trackmdc.top,70,15,Splunk - Collective Insights Demo,,Correlation,,"TA0001, TA0011, T1566, T1566.002",isc:bind:query,,2024-12-31T23:51:35.690Z
idn:1.download765.online,1.download765.online,71,24,Splunk - Collective Insights Demo,,Correlation,,"T1204.001, TA0001, TA0011",squid:access,,2024-12-31T23:51:35.690Z
idn:authmygv.duckdns.org,authmygv.duckdns.org,69,37,Splunk - Collective Insights Demo,,Correlation,,"T1566, TA0011, TA0002, TA0001, T1566.002",squid:access,,2024-12-31T23:51:35.690Z
idn:dxpam.duckdns.org,dxpam.duckdns.org,77,73,Splunk - Collective Insights Demo,,Correlation,AsyncRAT,"T1204.001, T1566, TA0011, TA0001, T1566.002, TA0002",squid:access,,2024-12-31T23:51:35.690Z
idn:xmilfstubeysf.dnset.com,xmilfstubeysf.dnset.com,69,69,Splunk - Collective Insights Demo,,Correlation,,"T1566, T1566.002",squid:access,,2024-12-31T23:51:35.690Z
idn:4536tg3rss334.duckdns.org,4536tg3rss334.duckdns.org,70,38,Splunk - Collective Insights Demo,,Correlation,,"T1566, TA0001, TA0011, TA0002, T1566.002",isc:bind:query,,2024-12-31T23:51:35.690Z
idn:8veezwtq.duckdns.org,8veezwtq.duckdns.org,69,33,Splunk - Collective Insights Demo,,Correlation,,"T1566, TA0011, TA0002, TA0001, T1566.002",isc:bind:query,,2024-12-31T23:51:35.690Z
idn:dzsgdzfzdfasd.blogspot.com,dzsgdzfzdfasd.blogspot.com,69,24,Splunk - Collective Insights Demo,,Correlation,,"TA0011, T1566.002, T1566",isc:bind:query,,2024-12-31T23:51:35.690Z
idn:etitem-pubgm.4dq.com,etitem-pubgm.4dq.com,72,41,Splunk - Collective Insights Demo,,Correlation,,"T1566, T1566.002",isc:bind:query,,2024-12-31T23:51:35.690Z
idn:grub-mabar-budi01gaming-new2021.duckdns.org,grub-mabar-budi01gaming-new2021.duckdns.org,74,34,Splunk - Collective Insights Demo,,Correlation,,"T1566, TA0001, TA0011, TA0002, T1566.002",isc:bind:query,,2024-12-31T23:51:35.690Z
idn:info4p-loginverify7r.x24hr.com,info4p-loginverify7r.x24hr.com,71,31,Splunk - Collective Insights Demo,,Correlation,,"T1566, T1566.002",isc:bind:query,,2024-12-31T23:51:35.690Z
idn:iwnsgk.faqserv.com,iwnsgk.faqserv.com,68,28,Splunk - Collective Insights Demo,,Correlation,,"T1204.001, T1566, TA0001, TA0011",isc:bind:query,,2024-12-31T23:51:35.690Z
idn:kjasaoqqgw.duckdns.org,kjasaoqqgw.duckdns.org,73,29,Splunk - Collective Insights Demo,,Correlation,,"T1566, TA0011, TA0002, TA0001, T1566.002",isc:bind:query,,2024-12-31T23:51:35.690Z
idn:pato.zapto.org,pato.zapto.org,73,33,Splunk - Collective Insights Demo,,Correlation,,"T1566, T1566.002",isc:bind:query,,2024-12-31T23:51:35.690Z
idn:securedvisaprepaid.ddns.us,securedvisaprepaid.ddns.us,71,36,Splunk - Collective Insights Demo,,Correlation,,"T1566, T1566.002",isc:bind:query,,2024-12-31T23:51:35.690Z
idn:wwgqmccemisoscom.org,wwgqmccemisoscom.org,93,93,Splunk - Collective Insights Demo,,Correlation,,"TA0001, TA0011",isc:bind:query,,2024-12-31T23:51:35.690Z
idn:0pt-huntington-secured.duckdns.org,0pt-huntington-secured.duckdns.org,74,70,Splunk - Collective Insights Demo,,Correlation,,"T1566, T1566.002, TA0011, TA0002, TA0001",squid:access,,2024-12-31T23:51:35.690Z
idn:clz5fec.duckdns.org,clz5fec.duckdns.org,73,73,Splunk - Collective Insights Demo,,Correlation,,"T1566, TA0001, TA0011, TA0002, T1566.002",squid:access,,2024-12-31T23:51:35.690Z
idn:grubantenganteng.000webhostapp.com,grubantenganteng.000webhostapp.com,68,68,Splunk - Collective Insights Demo,,Correlation,,T1566.002,squid:access,,2024-12-31T23:51:35.689Z
idn:robinhoodloginin.blogspot.nl,robinhoodloginin.blogspot.nl,72,28,Splunk - Collective Insights Demo,,Correlation,,"T1566, T1566.002, TA0011",squid:access,,2024-12-31T23:51:35.689Z
ip:66.63.187.46,66.63.187.46,25,49,Splunk Demo Environment,Indicators Linked to Malware C&C Servers,Correlation,Venom Software,TA0011,netscreen:firewall,,2024-12-31T23:50:55.000Z
ip:141.98.154.54,141.98.154.54,44,99,Splunk - Collective Insights Demo,,Correlation,AsyncRAT,"TA0011, T1071",netscreen:firewall,,2024-12-31T23:46:48.712Z
ip:193.164.4.66,193.164.4.66,25,91,Splunk - Collective Insights Demo,,Correlation,PrivateLoader,TA0011,netscreen:firewall,,2024-12-31T23:46:48.712Z
ip:193.3.23.92,193.3.23.92,31,33,Splunk - Collective Insights Demo,,Correlation,QuasarRAT,TA0011,netscreen:firewall,,2024-12-31T23:46:48.712Z
ip:195.90.209.113,195.90.209.113,71,92,Splunk - Collective Insights Demo,,Correlation,Metasploit,TA0011,netscreen:firewall,,2024-12-31T23:46:48.712Z
ip:24.54.126.33,24.54.126.33,70,30,Splunk - Collective Insights Demo,,Correlation,DanaBot,TA0011,netscreen:firewall,,2024-12-31T23:46:48.712Z
ip:27.254.164.221,27.254.164.221,67,31,Splunk - Collective Insights Demo,,Correlation,,TA0011,netscreen:firewall,,2024-12-31T23:46:48.712Z
ip:34.150.115.173,34.150.115.173,25,30,Splunk - Collective Insights Demo,,Correlation,SparkRAT,TA0011,netscreen:firewall,,2024-12-31T23:46:48.712Z
ip:43.246.208.107,43.246.208.107,66,68,Splunk - Collective Insights Demo,,Correlation,PlugX,TA0011,netscreen:firewall,,2024-12-31T23:46:48.712Z
ip:45.139.225.108,45.139.225.108,92,33,Splunk - Collective Insights Demo,,Correlation,PlugX,"TA0011, T1071",netscreen:firewall,,2024-12-31T23:46:48.712Z
ip:45.153.230.139,45.153.230.139,28,33,Splunk - Collective Insights Demo,,Correlation,CALDERA Framework,TA0011,netscreen:firewall,,2024-12-31T23:46:48.712Z
ip:45.95.175.94,45.95.175.94,67,36,Splunk - Collective Insights Demo,,Correlation,"BeEF (The Browser Exploitation Framework), Asset Reconnaissance Lighthouse, Cobalt Strike Beacon","T1595.002, TA0011",netscreen:firewall,,2024-12-31T23:46:48.712Z
ip:47.116.178.66,47.116.178.66,67,34,Splunk - Collective Insights Demo,,Correlation,"Cobalt Strike, Cobalt Strike Beacon",TA0011,netscreen:firewall,,2024-12-31T23:46:48.712Z
ip:60.204.144.169,60.204.144.169,66,96,Splunk - Collective Insights Demo,,Correlation,Cobalt Strike Beacon,TA0011,netscreen:firewall,,2024-12-31T23:46:48.712Z
ip:64.176.52.177,64.176.52.177,25,91,Splunk - Collective Insights Demo,,Correlation,Poseidon macOS Stealer,TA0011,netscreen:firewall,,2024-12-31T23:46:48.712Z
ip:74.208.201.158,74.208.201.158,69,94,Splunk - Collective Insights Demo,,Correlation,HaK5 Cloud C2,TA0011,netscreen:firewall,,2024-12-31T23:46:48.712Z
ip:8.218.182.112,8.218.182.112,94,99,Splunk - Collective Insights Demo,,Correlation,"Cobalt Strike Beacon, Cobalt Strike","TA0011, T1071",netscreen:firewall,,2024-12-31T23:46:48.711Z
ip:8.218.77.161,8.218.77.161,70,95,Splunk - Collective Insights Demo,,Correlation,HyperBro,TA0011,netscreen:firewall,,2024-12-31T23:46:48.711Z
ip:91.83.93.197,91.83.93.197,71,31,Splunk - Collective Insights Demo,,Correlation,Dridex,TA0011,netscreen:firewall,,2024-12-31T23:46:48.711Z
ip:95.164.22.25,95.164.22.25,71,27,Splunk - Collective Insights Demo,,Correlation,Metasploit,TA0011,netscreen:firewall,,2024-12-31T23:46:48.711Z
ip:1.14.69.132,1.14.69.132,26,31,Splunk - Collective Insights Demo,,Correlation,Cobalt Strike Beacon,TA0011,netscreen:firewall,,2024-12-31T23:46:48.711Z
ip:104.248.54.49,104.248.54.49,70,99,Splunk - Collective Insights Demo,,Correlation,Cobalt Strike: cs2modrewrite Profile,"TA0011, T1071",netscreen:firewall,,2024-12-31T23:46:48.711Z
ip:117.50.190.56,117.50.190.56,71,99,Splunk - Collective Insights Demo,,Correlation,"Asset Reconnaissance Lighthouse, Cobalt Strike Beacon","T1595.002, TA0011, T1204.001, T1204.002, T1566, T1566.002, TA0001",netscreen:firewall,,2024-12-31T23:46:48.711Z
ip:120.46.208.63,120.46.208.63,31,37,Splunk - Collective Insights Demo,,Correlation,Cobalt Strike Beacon,TA0011,netscreen:firewall,,2024-12-31T23:46:48.711Z
ip:123.249.104.74,123.249.104.74,38,39,Splunk - Collective Insights Demo,,Correlation,Dark Crystal RAT,TA0011,netscreen:firewall,,2024-12-31T23:46:48.711Z
ip:124.71.158.149,124.71.158.149,99,40,Splunk - Collective Insights Demo,,Correlation,"Cobalt Strike Beacon, Cobalt Strike","TA0011, T1071, T1566.002, TA0001",netscreen:firewall,,2024-12-31T23:46:48.711Z
ip:124.71.228.177,124.71.228.177,66,97,Splunk - Collective Insights Demo,,Correlation,Cobalt Strike Beacon,TA0011,netscreen:firewall,,2024-12-31T23:46:48.711Z
ip:128.1.132.224,128.1.132.224,98,98,Splunk - Collective Insights Demo,,Correlation,"Cobalt Strike Beacon, Cobalt Strike: jQuery Malleable Profile","TA0011, T1071, T1566.001",netscreen:firewall,,2024-12-31T23:46:48.711Z
ip:139.196.237.171,139.196.237.171,47,99,Splunk - Collective Insights Demo,,Correlation,Cobalt Strike Beacon,"TA0011, T1566.002, TA0001",netscreen:firewall,,2024-12-31T23:46:48.711Z
ip:139.196.53.65,139.196.53.65,74,49,Splunk - Collective Insights Demo,,Correlation,"Cobalt Strike Beacon, Viper Pentesting Tool","TA0011, T1566.002, TA0001",netscreen:firewall,,2024-12-31T23:46:48.711Z
ip:154.216.17.11,154.216.17.11,25,30,Splunk - Collective Insights Demo,,Correlation,Octo Banking Trojan,TA0011,netscreen:firewall,,2024-12-31T23:46:48.711Z
ip:154.91.85.234,154.91.85.234,66,31,Splunk - Collective Insights Demo,,Correlation,Meterpreter,TA0011,netscreen:firewall,,2024-12-31T23:46:48.711Z
ip:156.244.9.156,156.244.9.156,67,32,Splunk - Collective Insights Demo,,Correlation,Cobalt Strike Beacon,TA0011,netscreen:firewall,,2024-12-31T23:46:48.711Z
ip:185.213.25.37,185.213.25.37,28,94,Splunk - Collective Insights Demo,,Correlation,Dark Crystal RAT,TA0011,netscreen:firewall,,2024-12-31T23:46:48.711Z
ip:185.230.143.99,185.230.143.99,66,92,Splunk - Collective Insights Demo,,Correlation,Cobalt Strike: cs2modrewrite Profile,TA0011,netscreen:firewall,,2024-12-31T23:46:48.711Z
ip:194.87.213.6,194.87.213.6,33,34,Splunk - Collective Insights Demo,,Correlation,Sliver,TA0011,netscreen:firewall,,2024-12-31T23:46:48.711Z
ip:198.7.121.101,198.7.121.101,69,96,Splunk - Collective Insights Demo,,Correlation,Mythic,TA0011,netscreen:firewall,,2024-12-31T23:46:48.711Z
ip:212.237.217.136,212.237.217.136,36,41,Splunk - Collective Insights Demo,,Correlation,SolarMarker RAT,TA0011,netscreen:firewall,,2024-12-31T23:46:48.711Z
ip:47.238.202.81,47.238.202.81,94,95,Splunk - Collective Insights Demo,,Correlation,PlugX,"TA0011, T1071",netscreen:firewall,,2024-12-31T23:46:48.711Z
ip:47.99.176.66,47.99.176.66,69,36,Splunk - Collective Insights Demo,,Correlation,Supershell,TA0011,netscreen:firewall,,2024-12-31T23:46:48.711Z
ip:60.188.59.126,60.188.59.126,75,76,Splunk - Collective Insights Demo,,Correlation,"Cobalt Strike Beacon, Cobalt Strike","TA0011, T1204.001, T1204.002, T1566, T1566.002, TA0001",netscreen:firewall,,2024-12-31T23:46:48.711Z
ip:74.65.183.83,74.65.183.83,75,35,Splunk - Collective Insights Demo,,Correlation,DarkComet,TA0011,netscreen:firewall,,2024-12-31T23:46:48.711Z
ip:84.46.251.145,84.46.251.145,76,40,Splunk - Collective Insights Demo,,Correlation,Crimson RAT,TA0011,netscreen:firewall,,2024-12-31T23:46:48.711Z
ip:85.13.218.229,85.13.218.229,27,32,Splunk - Collective Insights Demo,,Correlation,TheOneSpy,TA0011,netscreen:firewall,,2024-12-31T23:46:48.711Z
ip:92.42.46.224,92.42.46.224,31,92,Splunk - Collective Insights Demo,,Correlation,XWorm,TA0011,netscreen:firewall,,2024-12-31T23:46:48.711Z
ip:94.156.167.73,94.156.167.73,25,40,Splunk - Collective Insights Demo,,Correlation,Octo Banking Trojan,TA0011,netscreen:firewall,,2024-12-31T23:46:48.711Z
ip:95.234.115.187,95.234.115.187,65,25,Splunk - Collective Insights Demo,,Correlation,,,netscreen:firewall,,2024-12-31T23:46:48.711Z
ip:1.13.20.208,1.13.20.208,25,30,Splunk Demo Environment,Indicators Linked to Malware C&C Servers,Correlation,QuasarRAT,TA0011,netscreen:firewall,,2024-12-31T23:46:29.000Z
idn:sokki.crabdance.com,sokki.crabdance.com,68,68,Splunk - Collective Insights Demo,,Correlation,,"T1566.002, T1566",squid:access,,2024-12-31T23:43:58.977Z
ip:146.70.80.83,146.70.80.83,96,39,Splunk Demo Environment,Indicators Linked to Malware C&C Servers,Correlation,SolarMarker RAT,"TA0011, T1071",netscreen:firewall,,2024-12-31T23:43:18.000Z
ip:38.242.236.116,38.242.236.116,50,52,Splunk Demo Environment,Indicators Linked to Malware C&C Servers,Correlation,AsyncRAT,TA0011,netscreen:firewall,,2024-12-31T23:42:15.000Z
ip:101.34.82.117,101.34.82.117,68,48,Splunk Demo Environment,Indicators Linked to Malware C&C Servers,Correlation,"Cobalt Strike Beacon, Cobalt Strike","TA0011, T1584",netscreen:firewall,,2024-12-31T23:38:49.000Z
ip:45.77.78.220,45.77.78.220,26,91,Splunk Demo Environment,Indicators Linked to Malware C&C Servers,Correlation,Poseidon macOS Stealer,TA0011,netscreen:firewall,,2024-12-31T23:33:01.000Z
ip:119.8.37.148,119.8.37.148,66,31,Splunk Demo Environment,Indicators Linked to Malware C&C Servers,Correlation,FlexiSpy,TA0011,netscreen:firewall,,2024-12-31T23:32:13.000Z
ip:45.139.225.108,45.139.225.108,92,33,Splunk Demo Environment,Indicators Linked to Malware C&C Servers,Correlation,PlugX,"TA0011, T1071",netscreen:firewall,,2024-12-31T23:31:26.000Z
ip:91.201.54.161,91.201.54.161,66,92,Splunk Demo Environment,Indicators Linked to Malware C&C Servers,Correlation,Cobalt Strike Beacon,TA0011,netscreen:firewall,,2024-12-31T23:30:54.000Z
url:http://103.95.196.149/mpsl,http://103.95.196.149/mpsl,67,67,Splunk - Collective Insights Demo,,Correlation,,"T1204.001, T1566.002",squid:access,,2024-12-31T23:29:55.089Z
url:http://131425.000webhostapp.com/,http://131425.000webhostapp.com/,69,69,Splunk - Collective Insights Demo,,Correlation,,"TA0011, T1566.002, T1204.001",squid:access,,2024-12-31T23:29:55.089Z
url:http://adivoxtubegjg.dnset.com/latest/amateur_dog_sex_01.avi.exe,http://adivoxtubegjg.dnset.com/latest/amateur_dog_sex_01.avi.exe,67,67,Splunk - Collective Insights Demo,,Correlation,,"T1204.001, TA0011, T1566.002",squid:access,,2024-12-31T23:29:55.089Z
url:http://chats-sex-aisyah-groups.duckdns.org/,http://chats-sex-aisyah-groups.duckdns.org/,67,15,Splunk - Collective Insights Demo,,Correlation,,"TA0011, T1566.002, T1204.001",squid:access,,2024-12-31T23:29:55.089Z
url:http://cnfirmtionvi0la1ting.duckdns.org/,http://cnfirmtionvi0la1ting.duckdns.org/,67,15,Splunk - Collective Insights Demo,,Correlation,,"T1204.001, TA0011, T1566.002",squid:access,,2024-12-31T23:29:55.089Z
url:http://easytk42.hopto.me/rutorrent/plugins/diskspace/action.php?_=1730827689275,http://easytk42.hopto.me/rutorrent/plugins/diskspace/action.php?_=1730827689275,66,10,Splunk - Collective Insights Demo,,Correlation,,"TA0011, T1566.002, T1204.001",squid:access,,2024-12-31T23:29:55.089Z
url:http://help-center479.crabdance.com/,http://help-center479.crabdance.com/,67,67,Splunk - Collective Insights Demo,,Correlation,,"T1204.001, TA0011, T1566.002",squid:access,,2024-12-31T23:29:55.089Z
url:http://lipari.yourtrap.com/zhenskie-shtuchki,http://lipari.yourtrap.com/zhenskie-shtuchki,70,66,Splunk - Collective Insights Demo,,Correlation,,"T1204.001, T1566.002, TA0011",squid:access,,2024-12-31T23:29:55.089Z
url:http://maurilioneto9.wix.com.usrfiles.com/html/ffd2d7_b72fe3e8bf2c0076bb2a29ead8e30801.html,http://maurilioneto9.wix.com.usrfiles.com/html/ffd2d7_b72fe3e8bf2c0076bb2a29ead8e30801.html,68,20,Splunk - Collective Insights Demo,,Correlation,,"T1204.001, T1566.002",squid:access,,2024-12-31T23:29:55.089Z
url:http://mfbojfzvtt.duckdns.org/en/main,http://mfbojfzvtt.duckdns.org/en/main,69,24,Splunk - Collective Insights Demo,,Correlation,,"T1204.001, T1566.002",squid:access,,2024-12-31T23:29:55.089Z
url:http://mirarelpasadosiemprelomejor.000webhostapp.com/,http://mirarelpasadosiemprelomejor.000webhostapp.com/,66,10,Splunk - Collective Insights Demo,,Correlation,,"T1204.001, TA0011, T1566.002",squid:access,,2024-12-31T23:29:55.088Z
url:http://the-server.duckdns.org:81/downloads/svchost.exe,http://the-server.duckdns.org:81/downloads/svchost.exe,70,66,Splunk - Collective Insights Demo,,Correlation,,"T1204.001, T1566.002, TA0011",squid:access,,2024-12-31T23:29:55.088Z
url:http://viruslive.000webhostapp.com/,http://viruslive.000webhostapp.com/,68,20,Splunk - Collective Insights Demo,,Correlation,,"T1204.001, TA0011, T1566.002",squid:access,,2024-12-31T23:29:55.088Z
url:https://hkxi98f2.duckdns.org/,https://hkxi98f2.duckdns.org/,68,20,Splunk - Collective Insights Demo,,Correlation,,"TA0011, T1566.002, T1204.001",squid:access,,2024-12-31T23:29:55.088Z
url:https://raw.githubusercontent.com/caonim2le/yournigas/main/sh4,https://raw.githubusercontent.com/caonim2le/yournigas/main/sh4,66,66,Splunk - Collective Insights Demo,,Correlation,,"T1204.001, T1566.002",squid:access,,2024-12-31T23:29:55.088Z
url:https://szbtphqnjb.duckdns.org/,https://szbtphqnjb.duckdns.org/,67,15,Splunk - Collective Insights Demo,,Correlation,,"TA0011, T1566.002, T1204.001",squid:access,,2024-12-31T23:29:55.088Z
url:http://analxxxclipsohs.dnset.com/latest/amateur_dog_sex_01.avi.exe,http://analxxxclipsohs.dnset.com/latest/amateur_dog_sex_01.avi.exe,67,67,Splunk - Collective Insights Demo,,Correlation,,"T1204.001, TA0011, T1566.002",squid:access,,2024-12-31T23:29:55.088Z
url:http://bbotzmefie.duckdns.org,http://bbotzmefie.duckdns.org,66,66,Splunk - Collective Insights Demo,,Correlation,,"TA0011, T1566.002, T1204.001",squid:access,,2024-12-31T23:29:55.088Z
url:http://dxpam.duckdns.org/bancolombia/img/logo.jpg,http://dxpam.duckdns.org/bancolombia/img/logo.jpg,70,10,Splunk - Collective Insights Demo,,Correlation,,"T1204.001, T1566.002, TA0011",squid:access,,2024-12-31T23:29:55.088Z
url:http://easytk42.hopto.me/rutorrent/plugins/diskspace/action.php?_=1732296289678,http://easytk42.hopto.me/rutorrent/plugins/diskspace/action.php?_=1732296289678,66,10,Splunk - Collective Insights Demo,,Correlation,,"TA0011, T1566.002, T1204.001",squid:access,,2024-12-31T23:29:55.088Z
url:http://konto-svvisspass.hopto.org,http://konto-svvisspass.hopto.org,68,68,Splunk - Collective Insights Demo,,Correlation,,"T1204.001, TA0011, T1566.002",squid:access,,2024-12-31T23:29:55.088Z
url:http://mail.gtwa-vipp18.duckdns.org/,http://mail.gtwa-vipp18.duckdns.org/,15,15,Splunk - Collective Insights Demo,,Correlation,,,squid:access,,2024-12-31T23:29:55.088Z
url:http://rahmattesku.ddns.net/,http://rahmattesku.ddns.net/,66,10,Splunk - Collective Insights Demo,,Correlation,,"T1204.001, TA0011, T1566.002",squid:access,,2024-12-31T23:29:55.088Z
url:http://spin-incubator.duckdns.org/,http://spin-incubator.duckdns.org/,67,67,Splunk - Collective Insights Demo,,Correlation,,"TA0011, T1566.002, T1204.001",squid:access,,2024-12-31T23:29:55.088Z
url:http://xmilfstubeysf.dnset.com/2013/zoo-sex-episode-5.avi.exe,http://xmilfstubeysf.dnset.com/2013/zoo-sex-episode-5.avi.exe,67,67,Splunk - Collective Insights Demo,,Correlation,,"T1204.001, TA0011, T1566.002",squid:access,,2024-12-31T23:29:55.088Z
url:http://zcamnm0.duckdns.org/,http://zcamnm0.duckdns.org/,67,15,Splunk - Collective Insights Demo,,Correlation,,"TA0011, T1566.002, T1204.001",squid:access,,2024-12-31T23:29:55.088Z
ip:103.96.75.176,103.96.75.176,99,99,Splunk Demo Environment,Indicators Linked to Malware C&C Servers,Correlation,PlugX,"TA0011, T1071",netscreen:firewall,,2024-12-31T23:26:49.000Z
ip:45.77.78.220,45.77.78.220,26,91,Splunk Demo Environment,Indicators Linked to Malware C&C Servers,Correlation,Poseidon macOS Stealer,TA0011,netscreen:firewall,,2024-12-31T23:26:19.000Z
ip:119.45.27.96,119.45.27.96,68,93,Splunk Demo Environment,Indicators Linked to Malware C&C Servers,Correlation,Meterpreter,TA0011,netscreen:firewall,,2024-12-31T23:25:13.000Z
ip:123.57.193.212,123.57.193.212,70,72,Splunk Demo Environment,Indicators Linked to Malware C&C Servers,Correlation,"Asset Reconnaissance Lighthouse, Cobalt Strike, Cobalt Strike Beacon","T1595.002, T1584, TA0011",netscreen:firewall,,2024-12-31T23:23:17.000Z
ip:148.135.35.239,148.135.35.239,97,37,Splunk Demo Environment,Indicators Linked to Malware C&C Servers,Correlation,"Supershell, Brute Ratel C4","TA0011, T1071",netscreen:firewall,,2024-12-31T23:20:55.000Z
ip:47.242.114.104,47.242.114.104,93,94,Splunk Demo Environment,Indicators Linked to Malware C&C Servers,Correlation,PlugX,"TA0011, T1071",netscreen:firewall,,2024-12-31T23:19:33.000Z
ip:144.202.57.117,144.202.57.117,38,39,Splunk Demo Environment,Indicators Linked to Malware C&C Servers,Correlation,"QuasarRAT, CinaRAT",TA0011,netscreen:firewall,,2024-12-31T23:19:29.000Z
url:http://709core.com/,http://709core.com/,67,67,Splunk - Collective Insights Demo,,Correlation,,,squid:access,,2024-12-31T23:18:40.194Z
url:http://bafybeihapzdffbvyylmoxclaxszrg4ooxotcice3cfxd6cqmkkhha4ty3a.ipfs.dweb.link/,http://bafybeihapzdffbvyylmoxclaxszrg4ooxotcice3cfxd6cqmkkhha4ty3a.ipfs.dweb.link/,67,67,Splunk - Collective Insights Demo,,Correlation,,,squid:access,,2024-12-31T23:18:40.194Z
url:http://campusvirtualfgv.kriativar.com.br/,http://campusvirtualfgv.kriativar.com.br/,67,67,Splunk - Collective Insights Demo,,Correlation,,T1566,squid:access,,2024-12-31T23:18:40.194Z
url:http://doug.red/horizonmh,http://doug.red/horizonmh,66,10,Splunk - Collective Insights Demo,,Correlation,,T1566,squid:access,,2024-12-31T23:18:40.194Z
url:http://grub-whatsappk7zitnk.website-x.my.id/vhsfhqpdhdsih6/,http://grub-whatsappk7zitnk.website-x.my.id/vhsfhqpdhdsih6/,67,67,Splunk - Collective Insights Demo,,Correlation,,,squid:access,,2024-12-31T23:18:40.194Z
url:http://kaffelandskap.duckdns.org/favicon.ico,http://kaffelandskap.duckdns.org/favicon.ico,70,10,Splunk - Collective Insights Demo,,Correlation,,"T1204.001, TA0011, T1566.002",squid:access,,2024-12-31T23:18:40.194Z
url:http://mail.pemblokiran-fbo1ef7ex.website-x.my.id/vhsfhqpdhdsih6/,http://mail.pemblokiran-fbo1ef7ex.website-x.my.id/vhsfhqpdhdsih6/,67,67,Splunk - Collective Insights Demo,,Correlation,,,squid:access,,2024-12-31T23:18:40.194Z
url:http://mail.updatescheck.com/swis/ch/de,http://mail.updatescheck.com/swis/ch/de,66,10,Splunk - Collective Insights Demo,,Correlation,,,squid:access,,2024-12-31T23:18:40.194Z
url:http://minupakk.com/splarm6,http://minupakk.com/splarm6,70,66,Splunk - Collective Insights Demo,,Correlation,ELF,"T1204.001, T1204.002, T1566, T1566.002",squid:access,,2024-12-31T23:18:40.194Z
