Entity ID,Entity,Risk Score at Detection,Current Risk Score,Source,Description,Detectors,Malware,Mitre Codes,Event Source,Event ID,Detection Time
K-1CeX,CVE-2007-5659,99,99,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T23:59:05.000Z
Oh_qkq,CVE-2015-2857,69,69,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T23:58:05.000Z
U3h73t,CVE-2017-16995,99,89,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T23:56:05.000Z
nkw6zS,CVE-2022-37706,99,99,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T23:55:07.000Z
fQQCep,CVE-2020-25259,66,66,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:54:05.000Z
Lmkh6H,CVE-2014-0566,65,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:54:05.000Z
LFQ-wT,CVE-2012-1886,93,87,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:53:05.000Z
V8Zsfz,CVE-2018-9948,94,84,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:53:05.000Z
LExi_R,CVE-2013-1723,91,81,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:52:05.000Z
M-MbaI,CVE-2015-0311,99,89,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T23:51:05.000Z
JuSKOW,CVE-2011-0609,99,89,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T23:50:07.000Z
TTzO8_,CVE-2017-5824,65,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:49:04.000Z
LExucf,CVE-2012-0506,0,81,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:49:04.000Z
M-MbaI,CVE-2015-0311,99,89,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T23:48:06.000Z
RV83VJ,CVE-2016-6825,65,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:48:06.000Z
brUiGY,CVE-2019-11283,65,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:47:05.000Z
R35O6n,CVE-2016-6995,67,67,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:47:05.000Z
l3k2hQ,CVE-2022-0847,99,89,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T23:46:05.000Z
z5ZwJZ,CVE-2024-50603,99,89,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T23:46:05.000Z
qlQgBc,CVE-2023-28507,66,66,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:45:06.000Z
Ti8r8j,CVE-2017-9248,99,89,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T23:44:05.000Z
QdoW_s,CVE-2016-2811,65,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:44:05.000Z
KLauw-,CVE-2010-0806,99,99,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T23:43:05.000Z
MDH9Gn,CVE-2014-6334,92,86,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:43:05.000Z
MaDk6V,CVE-2014-6355,92,82,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:42:06.000Z
YdTmtu,CVE-2018-16046,82,71,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:42:06.000Z
kQ5c_m,CVE-2021-42669,68,68,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T23:40:07.000Z
VLNGec,CVE-2018-6498,65,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:40:07.000Z
i-w_9q,CVE-2020-36403,66,66,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:39:05.000Z
VU9N2_,CVE-2018-6859,65,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:39:05.000Z
msDmwV,CVE-2022-31567,65,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:38:05.000Z
ZN9j2P,CVE-2019-8375,67,67,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:37:04.000Z
x7hvee,CVE-2024-44241,65,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:37:04.000Z
OZzQC6,CVE-2015-1328,99,89,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T23:35:07.000Z
XtBiDV,CVE-2018-8453,99,99,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T23:34:05.000Z
LFRAjR,CVE-2004-1305,92,82,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:34:05.000Z
wZxKqx,CVE-2024-37928,65,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:33:06.000Z
cIiVro,CVE-2013-2095,65,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:32:04.000Z
LFRC4X,CVE-2004-0210,94,84,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:32:04.000Z
1Tt88-,CVE-2024-54819,70,70,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:31:05.000Z
LExq6H,CVE-2012-3641,65,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:31:05.000Z
NEUHjx,CVE-2001-0247,67,67,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:30:06.000Z
ZdjRSJ,CVE-2019-3860,71,71,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:30:06.000Z
VQtBgT,CVE-2018-4879,93,87,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:29:05.000Z
UJBsgJ,CVE-2017-12617,99,89,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T23:29:05.000Z
nHMP98,CVE-2022-34721,0,79,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T23:28:04.000Z
zNOtIN,CVE-2024-47904,67,67,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:26:04.000Z
RrhIqr,CVE-2016-5275,67,67,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:25:07.000Z
p_xrgk,CVE-2022-46862,66,66,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:25:07.000Z
mRalAP,CVE-2022-29095,67,67,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:24:05.000Z
I-xmzm,CVE-2011-2110,99,89,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T23:23:05.000Z
OKrl5I,CVE-2014-8361,99,89,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T23:23:05.000Z
pmwgk4,CVE-2023-22897,67,67,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:22:04.000Z
jDaRnP,CVE-2021-22555,99,99,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T23:22:04.000Z
VNQuy2,CVE-2018-6065,99,89,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:21:05.000Z
niq6Kd,CVE-2022-3320,0,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:21:05.000Z
suNIAO,CVE-2023-43201,65,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:20:07.000Z
Ti8r8j,CVE-2017-9248,99,89,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T23:20:07.000Z
xATbiu,CVE-2024-6733,65,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:19:04.000Z
s0viQU,CVE-2023-44397,65,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:19:04.000Z
KRGpYp,CVE-2013-4451,65,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:17:05.000Z
ugcKKB,CVE-2024-21413,99,99,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T23:16:06.000Z
LFQ_53,CVE-2002-0697,65,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:15:06.000Z
mJWyXP,CVE-2022-28347,66,66,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:15:06.000Z
s8_d7H,CVE-2023-45638,65,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:14:05.000Z
VgwK5M,CVE-2018-8828,68,68,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:13:04.000Z
KEHWzc,CVE-2006-3227,92,82,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:12:05.000Z
sB0sMi,CVE-2023-38427,66,66,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:12:05.000Z
XaBhGC,CVE-2018-17385,66,66,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:11:05.000Z
SjO_iK,CVE-2016-3029,65,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:11:05.000Z
2PDeMk,CVE-2025-0282,99,89,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T23:10:06.000Z
TMV64H,CVE-2017-0213,99,99,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T23:09:05.000Z
Qj42aJ,CVE-2016-0169,95,85,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:09:05.000Z
SUUuX4,CVE-2016-9842,69,69,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:08:05.000Z
mxNvlS,CVE-2021-3555,65,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:07:04.000Z
sgIfg8,CVE-2023-41508,65,66,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:06:05.000Z
liDhjr,CVE-2022-24521,99,99,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T23:06:05.000Z
tsIUlW,CVE-2022-47531,66,66,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:04:04.000Z
Uc3PIy,CVE-2017-16384,92,82,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:03:06.000Z
Zs4cBI,CVE-2019-0859,99,89,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T23:03:06.000Z
LExoXE,CVE-2013-0745,65,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:02:05.000Z
LExnFA,CVE-2012-2049,91,86,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:02:05.000Z
xf8amv,CVE-2024-7494,65,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:01:04.000Z
TACEq6,CVE-2017-0199,99,99,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T23:00:06.000Z
lmH2by,CVE-2022-24881,0,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T23:00:06.000Z
WPnAXJ,CVE-2018-11714,67,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T22:59:05.000Z
ShiWip,CVE-2017-5204,68,68,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T22:59:05.000Z
TACEq6,CVE-2017-0199,99,99,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T22:58:05.000Z
t34vWR,CVE-2023-51653,71,71,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T22:58:05.000Z
N4p4oP,CVE-2015-0816,92,82,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T22:57:05.000Z
lfsJl7,CVE-2022-0459,65,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T22:56:05.000Z
zAhp1b,CVE-2024-9286,65,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T22:56:05.000Z
NXH_lR,CVE-2007-2200,66,66,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T22:55:07.000Z
NXHhYN,CVE-2006-6493,92,82,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T22:54:05.000Z
m-cP8U,CVE-2017-20064,66,66,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T22:53:05.000Z
LEyOS4,CVE-2010-3552,95,95,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T22:53:05.000Z
mKxvEr,CVE-2022-28413,65,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T22:52:05.000Z
uDBwrY,CVE-2024-0265,68,68,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T22:51:06.000Z
WkfeOO,CVE-2018-5061,93,83,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T22:50:07.000Z
LE7NEh,CVE-2011-3587,71,71,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T22:50:07.000Z
M-MbaI,CVE-2015-0311,99,89,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T22:49:04.000Z
tfGeaq,CVE-2023-49040,65,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T22:49:04.000Z
LE7RJd,CVE-2010-0017,66,66,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T22:48:05.000Z
ZFgZ5R,CVE-2019-7089,99,99,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T22:48:05.000Z
mBh2V-,CVE-2022-1043,99,89,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T22:47:05.000Z
LFQ_2H,CVE-2006-3590,95,84,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T22:46:05.000Z
h4L0jJ,CVE-2021-0430,68,68,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T22:46:05.000Z
cqZZ3A,CVE-2020-4241,66,66,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T22:45:07.000Z
K_I6qT,CVE-2013-2729,99,99,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T22:45:07.000Z
atR_CR,CVE-2019-1010101,65,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T22:44:04.000Z
jmw-MV,-,0,0,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T22:44:04.000Z
OZzQC6,CVE-2015-1328,99,89,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T22:43:06.000Z
LE7OqX,CVE-2010-3747,66,66,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T22:43:06.000Z
cavyH0,CVE-2020-1603,65,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T22:42:06.000Z
LE7LIg,CVE-2010-3973,92,86,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T22:42:06.000Z
fUpg1G,CVE-2020-25614,66,66,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T22:41:05.000Z
LFQ-wT,CVE-2012-1886,93,87,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T22:40:06.000Z
iqTdxf,CVE-2021-33882,66,66,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T22:39:05.000Z
Lfn0VV,CVE-2014-2592,65,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T22:39:05.000Z
Q0lgwa,CVE-2016-3214,65,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T22:38:06.000Z
xKo03W,CVE-2024-41713,99,89,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T22:37:05.000Z
syYHXB,CVE-2023-44016,65,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T22:37:05.000Z
j2G0X_,CVE-2020-19159,0,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T22:36:05.000Z
OcPuP9,CVE-2015-3113,99,99,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T22:36:05.000Z
Z8mfOR,CVE-2019-11642,66,66,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T22:35:07.000Z
eEDBRf,CVE-2020-19213,0,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T22:34:05.000Z
LYx_rV,CVE-2011-2131,67,67,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T22:34:05.000Z
RnvPWD,CVE-2016-1240,99,89,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T22:32:04.000Z
0MbGq0,CVE-2024-10773,68,68,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T22:31:05.000Z
sCSOrX,CVE-2023-38495,65,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T22:31:05.000Z
vcVPMx,CVE-2024-32700,65,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T22:30:07.000Z
SQw8DC,CVE-2016-7262,99,99,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T22:30:07.000Z
Q1vM7O,CVE-2016-4155,65,65,Splunk Demo Environment,Default vulnerability risklist,Correlation,,,tenable:sc:vuln,,2025-01-31T22:29:04.000Z
LE7NIF,CVE-2009-0075,97,89,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T22:28:05.000Z
QIzNQn,CVE-2016-0099,99,99,Splunk Demo Environment,Default vulnerability risklist,Correlation,,T1588.001,tenable:sc:vuln,,2025-01-31T22:27:06.000Z
